matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
1,1,1st,2 0 0 2 0 1,5,0,5,0,Rohit Sharma,5,6,Chris Lynn,0,0,Mohammed Siraj,5-0
1,2,1st,1 0 0 0 0 0,1,0,1,0,Rohit Sharma,6,7,Chris Lynn,0,5,Kyle Jamieson,6-0
1,3,1st,0 0 0 0 4 2,6,0,6,0,Rohit Sharma,12,13,Chris Lynn,0,5,Mohammed Siraj,12-0
1,4,1st,0 4 1 6 1 W,12,0,12,1,Rohit Sharma,19,15,Chris Lynn,5,9,Yuzvendra Chahal,24-1
1,5,1st,4 0 1 1 0 0,6,0,6,0,Suryakumar Yadav,5,5,Chris Lynn,6,10,Kyle Jamieson,30-1
1,6,1st,0 6 0 1 0 4,11,0,11,0,Suryakumar Yadav,9,7,Chris Lynn,13,14,Yuzvendra Chahal,41-1
1,7,1st,1 1 4 6 1 1,14,0,14,0,Suryakumar Yadav,11,9,Chris Lynn,25,18,Shahbaz Ahmed,55-1
1,8,1st,N1 6 1 0 4 1 1,14,1,15,0,Suryakumar Yadav,17,13,Chris Lynn,33,21,Harshal Patel,70-1
1,9,1st,1 4 1 2 Wd 4 0,12,1,13,0,Suryakumar Yadav,22,15,Chris Lynn,40,25,Daniel Christian,83-1
1,10,1st,0 1 1 1 0 0,3,0,3,0,Suryakumar Yadav,24,18,Chris Lynn,41,28,Yuzvendra Chahal,86-1
1,11,1st,1 1 0 6 0 W,8,0,8,1,Suryakumar Yadav,31,23,Chris Lynn,42,29,Kyle Jamieson,94-2
1,12,1st,1 0 1 0 1 1,4,0,4,0,Ishan Kishan,2,3,Chris Lynn,44,32,Mohammed Siraj,98-2
1,13,1st,1 4 1 1 W 0,7,0,7,1,Ishan Kishan,4,6,Hardik Pandya,0,0,Washington Sundar,105-3
1,14,1st,1 2 6 4 1 1,15,0,0,0,Ishan Kishan,17,10,Hardik Pandya,2,2,Yuzvendra Chahal,120-3
1,15,1st,0 4 0 1 2 1,8,0,8,0,Ishan Kishan,20,12,Hardik Pandya,7,6,Daniel Christian,128-3
1,16,1st,0 1 2 4 0 W,7,0,7,1,Ishan Kishan,21,14,Hardik Pandya,13,10,Harshal Patel,135-4
1,17,1st,Wd 4 1 0 0 1 0,6,1,7,0,Ishan Kishan,26,17,Kieron Pollard,1,3,Mohammed Siraj,142-4
1,18,1st,0 1 2 W 0 1,4,0,4,1,Krunal Pandya,1,2,Kieron Pollard,2,5,Harshal Patel,146-5
1,19,1st,1 1 N4 0 1 4 0,7,5,12,0,Krunal Pandya,7,6,Kieron Pollard,7,8,Kyle Jamieson,158-5
1,20,1st,W W 0 W 0 W1,0,1,1,4,Jasprit Bumrah,1,2,Rahul Chahar,0,0,harshal Patel,159-9
1,1,2nd,0 0 Wd5 0 1 4 0,5,5,10,0,Virat Kohli,4,2,Washington Sundar,1,4,Trent Boult,10-0
1,2,2nd,2 0 0 2 1 0,5,0,5,0,Virat Kohli,4,3,Washington Sundar,6,9,Jasprit Bumrah,15-0
1,3,2nd,1 4 0 1 0 0,6,0,6,0,Virat Kohli,9,6,Washington Sundar,7,12,Trent Boult,21-0
1,4,2nd,4 L1 0 N1 4 1 2,12,2,14,0,Virat Kohli,18,10,Washington Sundar,10,15,Marco Jansen,35-0
1,5,2nd,1 W 1 1 2 1,6,0,6,1,Virat Kohli,20,12,Rajat Patidar,4,3,Krunal Pandya,41-1
1,6,2nd,4 0 0 Wd 0 W 0,4,1,5,1,Virat Kohli,20,12,Glenn Maxwell,0,1,Trent Boult,46-2
1,7,2nd,0 0 2 0 1 1,4,0,4,0,Virat Kohli,23,17,Glenn Maxwell,1,2,Krunal Pandya,50-2
1,8,2nd,4 1 3 0 4 1,13,0,13,0,Virat Kohli,26,18,Glenn Maxwell,11,7,Rahul Chahar,63-2
1,9,2nd,0 0 0 1 1 4,6,0,6,0,Virat Kohli,27,19,Glenn Maxwell,16,12,Krunal Pandya,69-2
1,10,2nd,0 1 1 1 Wd 0 Wd 1,4,2,6,0,Virat Kohli,29,22,Glenn Maxwell,18,15,Marco Jansen,75-2
1,11,2nd,6 1 0 0 1 1,9,0,9,0,Virat Kohli,30,25,Glenn Maxwell,26,18,Krunal Pandya,84-2
1,12,2nd,6 1 2 0 1 1,11,0,11,0,Virat Kohli,33,28,Glenn Maxwell,34,21,Rahul Chahar,95-2
1,13,2nd,2 1 W 0 1 0,4,0,4,1,AB de Villiers,1,2,Glenn Maxwell,37,24,Jasprit Bumrah,99-3
1,14,2nd,0 1 1 1 0 1,4,0,4,0,AB de Villiers,3,5,Glenn Maxwell,39,27,Rahul Chahar,103-3
1,15,2nd,W Wd 1 0 0 1 W,2,1,3,2,AB de Villiers,4,8,Shahbaz Ahmed,1,2,Marco Jansen,106-5
1,16,2nd,4 6 1 1 2 1,15,0,15,0,AB de Villiers,18,13,Daniel Christian,1,1,Rahul Chahar,121-5
1,17,2nd,1 0 W 0 3 1,5,0,5,1,AB de Villiers,20,15,Kyle Jamieson,3,2,Jasprit Bumrah,126-6
1,18,2nd,6 1 1 4 2 1,15,0,15,0,AB de Villiers,34,20,Kyle Jamieson,4,3,Trent Boult,141-6
1,19,2nd,4 2 4 1 W 1,12,0,12,1,AB de Villiers,46,25,Harshal Patel,0,0,Jasprit Bumrah,153-7
1,20,2nd,1 2 1 W1 L1 1,6,1,7,1,Mohammed Siraj,0,0,Harshal Patel,4,3,Marco Jansen,160-8
