slno,match no,date,stadium,city,team1,team2,team1 captain,team2 captain,toss,decision,1st ing total,2nd ing total,win,mom,team
1,1,09.04.2021,MA Chidambaram Stadium,Chennai,MI,RCB,Rohit Sharma,Virat Kohli,RCB,bowling,159-9,160-8,RCB,Harshal Patel,RCB
2,2,10.04.2021,Wankhede Stadium,Mumbai,CSK,DC,MS Dhoni,Rishabh Pant,DC,bowling,188-7,190-3,DC,Shikhar Dhawan,DC
3,3,11.04.2021,MA Chidambaram Stadium,Chennai,KKR,SRH,Eoin Morgan,David Warner,SRH,bowling,187 - 6,177 -  5,KKR,Nitish Rana,KKR
4,4,12.04.2021,Wankhede Stadium,Mumbai,PBKS,RR,KL Rahul,Sanju Samson,RR,bowling,221 - 6,217 - 7,PBKS,Sanju Samson,RR
5,5,13.04.2021,MA Chidambaram Stadium,Chennai,KKR,MI,Eoin Morgan,Rohit Sharma,KKR,bowling,152 - 10,142 - 7,MI,Rahul Chahar,MI
6,6,14.04.2021,MA Chidambaram Stadium,Chennai,RCB,SRH,Virat Kohli,David Warner,SRH,bowling,149 - 8,143 - 9,RCB,Glenn Maxwell,RCB
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
